Country,Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Greece,GRC,22.5532,24.7038,23.836,25.0451,23.9589,23.3009,23.304,25.4059,24.6878,24.8318,25.3478,24.968,25.5579,24.1686,24.1992,24.5904,25.8604,25.2949,24.5934,25.7946,24.8974,26.1202,25.6495,24.5015,25.5191
Greenland,GRL,-2.4579,-3.964,-2.4298,-2.8072,-3.4504,-3.4163,-4.0614,-2.5784,-2.7428,-3.1763,-3.3154,-2.9475,-1.2006,-3.2909,-2.3895,-2.9517,-2.9558,-3.2775,-2.3259,-2.7734,-2.5012,-3.0375,-3.3559,-2.3624,-2.6015
Grenada,GRD,28.7999,28.2999,28.5,27.6,28.2999,27.6,28.2999,28.7,28.1,27.6,28.2,28.6,28.2,27.7999,28.5,28.2999,28.4,28.4,29.0,29.1,29.2,28.4,28.1,28.7,28.5
Guadeloupe,GLP,27.0048,26.7142,26.7655,27.0048,27.2621,26.7142,27.0581,27.3966,26.996,26.9878,27.1804,26.9885,26.4696,26.4014,26.8926,26.2933,26.575,26.6574,26.7662,26.6844,26.7202,26.4439,26.2737,26.2439,26.6744
Guam,GUM,28.7417,29.0,29.0417,28.9417,28.0,28.0,27.7999,28.0,27.9,28.4582,28.2999,28.3582,28.2582,28.2582,28.3582,28.2999,28.3582,28.2,28.2999,28.0,28.4,28.5,28.5582,28.2999,28.5
Guatemala,GTM,26.4838,26.0234,26.0226,25.9047,25.66,25.0223,26.0997,26.5675,25.4192,25.2548,25.5857,25.916,26.2331,25.6566,25.9299,25.5098,25.7882,26.252,25.9421,25.962,26.2361,25.4471,25.7395,25.9385,25.816
Guinea,GIN,28.2408,28.7786,28.3013,28.5004,28.6186,28.5748,28.3136,29.8205,28.501,29.2204,29.1363,28.7441,29.3511,29.2291,29.1817,28.8154,28.9721,28.4487,28.9445,29.7637,28.9234,28.5391,29.3341,29.1296,29.2197
Guinea-Bissau,GNB,29.0934,29.4473,30.0833,29.2281,29.4242,29.3509,29.5029,30.2133,29.5111,30.6934,30.302,29.344,30.0712,30.3298,30.5495,29.8468,30.2089,30.3275,29.4444,30.5329,30.0241,29.6905,29.859,29.429,30.289
Guyana,GUY,26.3911,26.3603,26.3422,25.8017,27.244,26.8806,28.241,27.816,27.2135,27.1115,27.46,27.3032,27.3036,27.1481,27.2357,27.3528,26.7505,27.1606,27.1465,27.2921,26.6023,26.5821,27.169,27.407,28.4707
Haiti,HTI,26.8788,26.9028,26.0187,26.8107,26.7579,26.3511,26.9979,27.2361,27.1099,26.9563,27.2022,27.0005,26.8445,26.8787,27.0527,27.0457,26.1186,25.9102,26.4986,26.5337,25.8943,26.5802,26.8011,26.9522,27.8439
Honduras,HND,26.3589,25.8005,25.7822,25.6167,25.4454,25.0272,26.0552,26.2937,25.174,25.0684,25.2488,25.5011,25.9993,25.312,25.9015,25.3904,25.4501,26.318,25.8465,25.9019,25.8564,25.2295,25.257,25.457,25.5471
Hungary,HUN,21.6088,24.0015,20.9055,23.1345,22.9946,19.9705,20.5428,20.8533,21.3976,22.6041,22.1003,22.4314,23.5066,20.6321,20.7065,23.0635,22.794,21.4204,22.1404,22.4608,22.0779,23.2656,22.5108,21.578,23.3806
Iceland,ISL,10.4643,7.82372,7.14199,9.94967,9.02815,9.32101,9.99445,8.88952,9.27519,9.8678,8.55597,8.74591,10.7315,10.0254,9.88974,9.21025,9.19804,10.179,9.43906,9.80532,9.52381,9.83617,9.09846,10.0887,8.03059
India,IND,30.2605,29.7876,30.2263,30.4812,30.6515,30.309,29.1176,30.9067,29.6425,29.8966,30.2005,30.9252,30.2705,29.9194,30.3993,30.1976,30.0014,29.8245,30.542,30.9367,30.2931,30.5945,30.8022,30.6068,30.6121
Indonesia,IDN,26.5124,26.6868,26.388,26.2993,26.5327,26.4255,26.5207,27.2776,26.4628,26.4191,26.491,26.9254,26.9204,26.8517,26.7615,26.3806,26.5901,26.5089,26.515,26.8262,26.2638,26.4169,26.7146,26.61,26.6551
Iran,IRN,29.002,28.5681,28.4738,29.283,29.8312,28.6717,29.6922,30.0792,29.3161,29.5709,29.8045,29.2583,29.5915,28.7235,30.1496,29.7198,29.333,30.0107,29.8702,30.4674,29.6023,29.5745,30.3365,30.3912,30.3853
Iraq,IRQ,33.2179,32.9957,34.1171,33.6017,33.8955,35.103,33.3957,35.1719,34.8736,36.0901,35.2865,34.1791,34.8856,34.0872,34.8865,35.3192,33.8739,34.8303,33.9679,35.3564,34.6057,35.262,34.6203,34.9774,35.7215
Ireland,IRL,15.4462,14.9924,13.981,14.5883,17.2156,14.6966,16.055,14.7777,15.8032,15.1271,14.8069,14.7737,15.9987,15.1827,15.1532,16.5801,14.3899,14.7936,14.8307,15.1213,13.8029,15.1762,16.9611,15.9643,14.3698
Israel,ISR,26.174,27.0183,27.6193,26.7626,27.4985,27.7531,27.4396,29.0293,28.3528,29.2544,28.3371,28.8225,28.494,28.2826,27.9762,28.449,28.1388,28.5441,28.164,29.8994,28.7197,29.5181,27.9608,28.2477,29.5023
Italy,ITA,21.8948,22.7525,22.0017,23.0138,22.4652,20.4313,21.1704,21.9172,22.1917,22.0165,22.6298,21.2462,24.1769,21.5674,21.9713,23.3302,21.7799,21.9228,22.8909,22.9842,22.1955,23.1685,22.591,20.5728,24.013
Jamaica,JAM,26.6371,26.9974,26.9133,26.9646,26.8276,26.0447,27.6319,27.9529,26.9676,27.1482,27.7355,27.3851,27.0406,27.22,27.2975,28.2018,27.3645,26.4435,26.2022,26.2065,25.876,26.8104,26.9114,27.3505,27.5241
Japan,JPN,22.2258,22.7002,21.0414,25.2359,24.0843,22.6339,22.6938,23.1633,24.4761,24.2532,23.2016,22.9145,22.2564,23.4755,24.0024,24.47,24.4373,23.0505,22.6198,25.5119,23.9868,24.6691,24.6862,23.1451,23.2621
Kazakhstan,KAZ,23.9243,22.2537,22.6169,22.2209,24.0997,23.9912,22.9715,25.326,23.4053,23.9123,21.994,23.1403,23.1257,23.1613,24.3075,23.1518,23.5745,24.9786,22.7087,23.7227,24.0636,25.1061,22.9758,23.7167,24.0251
Kenya,KEN,26.1007,26.4825,25.9852,25.8469,26.0357,26.5395,26.1673,26.7214,26.7558,26.6502,27.3899,27.1469,27.2364,26.876,27.1086,26.9949,26.4264,26.9585,27.1658,27.0439,27.1329,26.3579,27.4341,26.969,27.0425
